#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
# target name        accession   tlen query name                               accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                     -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -            914 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  7.3e-166  546.3  17.4   1   3       1.3       7.6   -3.0   4.6    36   222   192   369   166   378 0.35 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -            914 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  7.3e-166  546.3  17.4   2   3       5.1        29   -4.9   2.0    86    98   894   906   817  1026 0.43 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -            914 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  7.3e-166  546.3  17.4   3   3  1.3e-166  7.3e-166  546.3  17.4   134   662  2027  2532  1992  2532 0.95 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta     -            959 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  1.8e-108  356.5  14.5   1   3         1       5.9   -2.4   3.1   106   194   174   244   154   349 0.54 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta     -            959 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  1.8e-108  356.5  14.5   2   3       3.4        19   -4.1   1.7   126   204   850   927   817   975 0.48 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta     -            959 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533  1.8e-108  356.5  14.5   3   3  3.2e-109  1.8e-108  356.5  14.5   139   674  2041  2533  2005  2533 0.94 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Nter_GDD.0.4.fasta     -            555 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   2.3e-89  292.4  10.1   1   3      0.85       4.8   -2.5   0.3    64   112   207   255   192   295 0.80 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Nter_GDD.0.4.fasta     -            555 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   2.3e-89  292.4  10.1   2   3      0.36       2.1   -1.3   0.4   182   289  1657  1769  1634  1778 0.79 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Nter_GDD.0.4.fasta     -            555 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   2.3e-89  292.4  10.1   3   3     4e-90   2.3e-89  292.4  10.1    62   544  2036  2523  1990  2531 0.87 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta               -            671 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   1.4e-71  234.1   3.9   1   1   4.4e-72   2.5e-71  233.2   3.9    88   509  2034  2510  1922  2530 0.74 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Nter_GDD.0.4.fasta -            470 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   3.5e-55  179.9  17.7   1   2       3.7        21   -4.0   0.7   389   461   841   913   826   919 0.74 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Nter_GDD.0.4.fasta -            470 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   3.5e-55  179.9  17.7   2   2   2.3e-55   1.3e-54  178.0  10.4    36   440  2096  2496  2083  2523 0.85 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta            -            860 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   2.5e-30   98.1   2.0   1   1   8.2e-31   4.7e-30   97.2   2.0   324   591  2207  2477  2194  2497 0.95 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta     -           1028 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   8.5e-11   33.2   0.6   1   1     3e-11   1.7e-10   32.3   0.6   514   726  2292  2488  2232  2514 0.79 -
ALL_FINAL_RdRp_cores_0.3.clstr_955.Palmdb.0.4.fasta     -            529 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533     3e-09   28.0   0.2   1   2       2.7        15   -4.0   0.1   282   305   772   795   766   795 0.83 -
ALL_FINAL_RdRp_cores_0.3.clstr_955.Palmdb.0.4.fasta     -            529 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533     3e-09   28.0   0.2   2   2   1.3e-09   7.2e-09   26.7   0.0   227   347  2289  2394  2273  2415 0.78 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta            -            831 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   1.2e-08   26.3   0.0   1   1   2.1e-09   1.2e-08   26.3   0.0   346   457  2292  2395  2241  2446 0.88 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta     -            604 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   2.9e-08   25.0   0.0   1   1   1.2e-08   6.5e-08   23.8   0.0   203   308  2292  2392  2240  2417 0.80 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta              -            849 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533   1.3e-05   15.9   0.0   1   1   3.9e-06   2.2e-05   15.1   0.0   464   546  2354  2426  2295  2428 0.81 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta              -           1021 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533    0.0015    9.2  12.4   1   2       8.6        48   -5.8   2.5     6   114   184   292   180   309 0.63 -
ALL_NCBI_Palmdb_RdRp.Tymovirales.0.4.fasta              -           1021 F1041_NODE_1_length_10955_cov_49.590092_1 -           2533    0.0015    9.2  12.4   2   2   2.2e-06   1.2e-05   16.1   2.5   448   574  2197  2327  2176  2394 0.86 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta         -           1097 F1042_NODE_4_length_2800_cov_341.222587_3 -            475  2.3e-104  343.0   1.6   1   1  4.6e-105  2.8e-104  342.7   1.6   223   749    21   465     2   474 0.82 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta  -           1028 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   2.8e-67  220.0   2.5   1   1   5.6e-68   3.5e-67  219.7   2.5   211   690    17   432     2   467 0.78 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   1.1e-47  155.0   0.7   1   1     2e-48   1.2e-47  154.8   0.7   187   483   108   416    12   465 0.71 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   2.7e-26   84.4   0.3   1   1   5.3e-27   3.3e-26   84.1   0.3   218   505   179   458   108   472 0.86 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   5.1e-21   66.8   0.2   1   1   1.1e-21   6.9e-21   66.3   0.2   546   783   114   351     3   386 0.68 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta          -            921 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   4.3e-19   61.1   1.3   1   1   8.1e-20     5e-19   60.8   1.3   267   617    57   409     3   470 0.66 -
ALL_FINAL_RdRp_cores_0.3.clstr_1170.Palmdb.0.4.fasta -            480 F1042_NODE_4_length_2800_cov_341.222587_3 -            475     3e-12   37.8   0.0   1   1   7.1e-13   4.4e-12   37.3   0.0    30   299    77   349    54   356 0.75 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta         -            831 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   2.3e-09   28.7   0.0   1   1   7.2e-10   4.5e-09   27.7   0.0   248   489   166   399    93   430 0.80 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta           -            849 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   1.4e-08   25.7   0.2   1   1   2.8e-09   1.8e-08   25.4   0.2   313   508   184   367    93   388 0.77 -
ALL_FINAL_RdRp_cores_0.3.clstr_1042.Palmdb.0.4.fasta -            503 F1042_NODE_4_length_2800_cov_341.222587_3 -            475   3.5e-07   21.0   0.1   1   1   2.7e-07   1.7e-06   18.8   0.1   140   301   190   350   151   363 0.80 -
ALL_FINAL_RdRp_cores_0.3.clstr_1260.Palmdb.0.4.fasta -            460 F1042_NODE_4_length_2800_cov_341.222587_3 -            475    0.0006   10.5   0.0   1   1   0.00017    0.0011    9.7   0.0   197   318   267   386   259   416 0.70 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -            591 F1043_NODE_12_length_4728_cov_6.876739_1 -           1536    0.0094    6.5   7.0   1   1   0.00021     0.014    5.9   7.0    10   150  1354  1502  1347  1530 0.67 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.50.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.50.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/18/8f2824d4f52d787ed203a3de843393
# Date:            Thu Jul 21 16:23:24 2022
# [ok]
#                                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                  accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                        -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta -            925 F1410_NODE_3535_length_1148_cov_2.000000_1 -            382     0.078    3.4  13.9   1   1   0.00042     0.028    4.9  11.7   668   917    23   268     8   276 0.82 -
Birnaviridae.ALL_RdRp_Palmdb_0.4.fasta -            555 F1410_NODE_4392_length_1000_cov_3.816931_1 -            333   0.00063   10.4   0.0   1   1   1.8e-05    0.0012    9.4   0.0   239   276   211   249   201   253 0.87 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.308.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.308.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/20/ef25586048a523c2290379cdb3d6c1
# Date:            Thu Jul 21 16:23:27 2022
# [ok]
#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                               accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                     -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta -            796 F1051_NODE_1_length_12044_cov_1008.365835_1 -           2170  3.2e-183  603.3   4.7   1   1  3.1e-184  5.3e-183  602.6   4.7    47   775   330  1029   298  1049 0.94 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta       -            765 F1051_NODE_1_length_12044_cov_1008.365835_1 -           2170  5.8e-118  387.4  10.6   1   1  7.6e-119  1.3e-117  386.2  10.6    30   721   313  1009   266  1029 0.87 -
ALL_NCBI_Palmdb_RdRp.Chunqiuviricetes.0.4.fasta -            633 F1051_NODE_1_length_12044_cov_1008.365835_1 -           2170   3.7e-15   47.3   0.0   1   1   3.7e-16   6.3e-15   46.5   0.0   361   626   724   983   700   989 0.80 -
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta   -            712 F1051_NODE_1_length_12044_cov_1008.365835_1 -           2170   6.1e-08   23.7   3.9   1   2   1.7e-05   0.00029   11.5   0.0    56   127   328   399   279   469 0.85 -
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta   -            712 F1051_NODE_1_length_12044_cov_1008.365835_1 -           2170   6.1e-08   23.7   3.9   2   2   6.7e-05    0.0011    9.6   2.6   237   421   521   707   504   733 0.69 -
ALL_NCBI_Palmdb_RdRp.Mindivirales.0.4.fasta -            806 F1051_NODE_1032_length_1159_cov_1.485507_1 -            386      0.94    0.3  17.6   1   1      0.02       1.4   -0.3  17.6   620   799   151   334   129   341 0.80 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1051_NODE_1761_length_960_cov_1.657459_1 -            313      0.04    4.8  10.8   1   1   0.00073     0.049    4.5  10.8    43   197    24   192     3   236 0.46 -
Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta -            552 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103  5.8e-123  402.9   0.0   1   2  1.4e-123  1.8e-122  401.2   0.0   146   541     1   389     1   397 0.96 -
Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta -            552 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103  5.8e-123  402.9   0.0   2   2      0.13       1.8   -1.5   0.0   182   205   872   895   868   899 0.89 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta        -            632 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   8.2e-06   16.6   0.1   1   2   1.5e-06     2e-05   15.3   0.1   317   392    90   182    63   206 0.75 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta        -            632 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   8.2e-06   16.6   0.1   2   2      0.62       8.4   -3.3   0.0    41    81   741   789   699   961 0.56 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta    -            849 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   2.3e-05   15.0   0.3   1   1   5.7e-06   7.7e-05   13.3   0.3   388   485    85   189    61   202 0.78 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta   -            921 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   4.1e-05   14.9   0.8   1   1     5e-06   6.8e-05   14.1   0.8   387   528     8   179     2   179 0.78 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta  -           1216 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   6.8e-05   13.7   1.1   1   2    0.0089      0.12    2.9   0.5   658   690    66    97    60   104 0.83 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta  -           1216 F1052_NODE_9_length_4423_cov_7.729625_1 -           1103   6.8e-05   13.7   1.1   2   2   0.00012    0.0017    9.1   0.0   584   656   114   187   100   199 0.79 -
Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta -            552 F1052_NODE_13_length_3984_cov_401.735811_1 -           1065  3.1e-162  532.5   0.0   1   1  1.9e-163  4.3e-162  532.1   0.0     5   547   186   719   183   725 0.93 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta        -            632 F1052_NODE_13_length_3984_cov_401.735811_1 -           1065   2.7e-12   38.0   0.0   1   1   2.5e-13   5.6e-12   37.0   0.0   133   394   145   498    23   522 0.63 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta   -            921 F1052_NODE_13_length_3984_cov_401.735811_1 -           1065   0.00018   12.8   0.2   1   1   1.2e-05   0.00027   12.2   0.2   289   431   221   365    94   406 0.60 -
ALL_FINAL_RdRp_cores_0.3.clstr_724.Palmdb.0.4.fasta -            542 F1052_NODE_618_length_1534_cov_1.690331_1 -            228       1.6   -0.5  14.9   1   1     0.028       1.9   -0.7  14.9    30   159    25   163     2   192 0.34 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.55.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.55.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/60/a5681dc1f7ef21b96cfb45d6d53cd9
# Date:            Thu Jul 21 16:23:25 2022
# [ok]
#                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -           1028 F1538_NODE_7417_length_707_cov_4.361963_1 -            235      0.47    1.0  45.1   1   1     0.017      0.57    0.8  45.1   853  1015    51   207     4   228 0.22 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta        -            860 F1538_NODE_7417_length_707_cov_4.361963_1 -            235       1.9   -0.7  49.4   1   1     0.068       2.3   -1.0  49.4   658   857    26   214     4   221 0.61 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802  3.6e-131  431.2   1.8   1   2      0.76       4.7   -2.6   1.0    28    64   168   204   123   285 0.44 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802  3.6e-131  431.2   1.8   2   2  6.3e-132  3.9e-131  431.1   0.0   137   938  1169  1828  1156  1902 0.79 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802  6.3e-113  370.5   0.9   1   3       1.1       6.6   -2.9   0.1   143   350   253   282   114   313 0.61 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802  6.3e-113  370.5   0.9   2   3      0.34       2.1   -1.3   0.0    37   179   863  1069   828  1092 0.42 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802  6.3e-113  370.5   0.9   3   3    1e-113  6.3e-113  370.5   0.9    92   543  1243  1846  1153  2032 0.71 -
ALL_FINAL_RdRp_cores_0.3.clstr_1170.Palmdb.0.4.fasta -            480 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802    1e-102  336.2   0.1   1   1  2.8e-103  1.7e-102  335.5   0.1     3   460  1374  1830  1372  1849 0.91 -
ALL_FINAL_RdRp_cores_0.3.clstr_1042.Palmdb.0.4.fasta -            503 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802     2e-65  213.1   0.5   1   1   6.1e-66   3.8e-65  212.3   0.5    20   486  1393  1843  1376  1858 0.85 -
ALL_FINAL_RdRp_cores_0.3.clstr_1112.Palmdb.0.4.fasta -            483 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   1.1e-30   98.6   0.2   1   2   1.8e-12   1.1e-11   36.0   0.0    42   266  1431  1669  1418  1676 0.82 -
ALL_FINAL_RdRp_cores_0.3.clstr_1112.Palmdb.0.4.fasta -            483 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   1.1e-30   98.6   0.2   2   2   7.7e-20   4.8e-19   60.3   0.0   306   470  1685  1852  1673  1863 0.82 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta          -            921 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   6.7e-26   83.5   0.2   1   2      0.14      0.84    0.6   0.7   652   826   126   211    57   287 0.52 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta          -            921 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   6.7e-26   83.5   0.2   2   2   1.1e-26   6.7e-26   83.5   0.2   235   623  1359  1776  1159  1889 0.71 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   6.6e-18   56.7   1.1   1   1   2.5e-18   1.5e-17   55.5   1.1   218   446  1503  1766  1428  1782 0.86 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta           -            849 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   7.5e-18   56.4   0.0   1   1   2.1e-18   1.3e-17   55.6   0.0   336   511  1524  1708  1449  1733 0.85 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta         -           1216 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   9.2e-14   43.0   0.1   1   2       0.1      0.63    0.6   1.3    76   173   139   236   106   289 0.79 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta         -           1216 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   9.2e-14   43.0   0.1   2   2   1.5e-14   9.2e-14   43.0   0.1   501   681  1514  1708  1504  1714 0.81 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   1.1e-13   43.1   0.0   1   2         3        18   -3.7   2.6   440   507   149   209   113   261 0.39 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   1.1e-13   43.1   0.0   2   2   1.9e-14   1.1e-13   43.1   0.0    60   415  1445  1790  1418  1820 0.83 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta         -            925 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   6.2e-09   26.9   0.0   1   2         2        12   -3.8   2.6   697   770   154   221   127   258 0.41 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta         -            925 F1539_NODE_1_length_9238_cov_54.876511_1 -           2802   6.2e-09   26.9   0.0   2   2     1e-09   6.2e-09   26.9   0.0   248   346  1513  1608  1488  1616 0.87 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta   -           1008 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228  2.8e-128  422.2   2.4   1   2      0.47        11   -3.3   7.5   702   868   577   773   527   806 0.59 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta   -           1008 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228  2.8e-128  422.2   2.4   2   2  1.2e-129  2.8e-128  422.2   2.4   142   777   925  1534   857  1544 0.87 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta       -            765 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228  2.6e-104  342.2   9.4   1   1    4e-105    9e-104  340.5   9.4    51   640   875  1526   847  1590 0.84 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_2.0.4.fasta -            608 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228   8.1e-05   13.1   8.1   1   3      0.39       8.7   -3.5   0.7    85   149   291   361   287   366 0.73 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_2.0.4.fasta -            608 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228   8.1e-05   13.1   8.1   2   3    0.0018     0.041    4.2   0.0    28    74  1044  1090  1020  1097 0.80 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_2.0.4.fasta -            608 F1539_NODE_12_length_6813_cov_660.129032_1 -           2228   8.1e-05   13.1   8.1   3   3   6.5e-06   0.00015   12.3   1.4   192   367  1113  1309  1104  1327 0.56 -
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta -            716 F1539_NODE_381_length_2723_cov_1.655172_1 -            595   1.8e-05   15.7   0.0   1   1   3.6e-07   2.5e-05   15.3   0.0   448   504   134   200    77   241 0.83 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.405.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.405.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/80/d061ef75fa8f56874a55f1da5ab8d6
# Date:            Thu Jul 21 16:23:28 2022
# [ok]
#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta   -            921 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   4.5e-87  285.6  15.7   1   1   4.9e-88   5.6e-87  285.3  15.7   166   692    60   516    45   541 0.81 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta        -            632 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   3.9e-45  146.5   5.0   1   1   4.2e-46   4.7e-45  146.2   5.0   132   522    82   490    10   538 0.67 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta    -            849 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   3.2e-20   64.2   0.6   1   1   4.4e-21     5e-20   63.6   0.6   196   536    47   424    25   427 0.68 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -           1394 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   1.7e-16   51.8   2.9   1   1     2e-17   2.2e-16   51.4   2.9   631   866   218   444   118   539 0.74 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta  -           1216 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   2.3e-14   45.0   5.3   1   1     2e-15   2.3e-14   45.0   5.3   469   706   183   424    58   428 0.76 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta     -            671 F1370_NODE_970_length_1742_cov_6.752223_1 -            542   3.2e-08   24.7   0.1   1   1   5.4e-09   6.1e-08   23.8   0.1   288   433   262   429   245   433 0.82 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -            914 F1370_NODE_1154_length_1622_cov_6.412891_3 -            204         2   -1.0  32.9   1   1     0.036       2.4   -1.3  32.9   732   897    29   194    13   203 0.37 -
#
# Program:         hmmscan
