nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
MW434970	MW434970_Culex_pipiens-associated_Tunisia_virus	MW434970_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10890	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047f_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434971	MW434971_Culex_pipiens-associated_Tunisia_virus	MW434971_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10901	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047e_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434972	MW434972_Culex_pipiens-associated_Tunisia_virus	MW434972_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10890	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047d_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434973	MW434973_Culex_pipiens-associated_Tunisia_virus	MW434973_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10902	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047c_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434974	MW434974_Culex_pipiens-associated_Tunisia_virus	MW434974_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10911	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047b_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434976	MW434976_Culex_pipiens-associated_Tunisia_virus	MW434976_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10892	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_028e_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434977	MW434977_Culex_pipiens-associated_Tunisia_virus	MW434977_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10890	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047g_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434979	MW434979_Hubei_virga-like_virus_2	MW434979_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10816	MAG: Hubei virga-like virus 2 isolate CMS002_047e_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434980	MW434980_Hubei_virga-like_virus_2	MW434980_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10844	MAG: Hubei virga-like virus 2 isolate CMS001_058_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434981	MW434981_Hubei_virga-like_virus_2	MW434981_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10839	MAG: Hubei virga-like virus 2 isolate CMS001_053_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434982	MW434982_Hubei_virga-like_virus_2	MW434982_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10839	MAG: Hubei virga-like virus 2 isolate CMS001_015_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434983	MW434983_Hubei_virga-like_virus_2	MW434983_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10876	MAG: Hubei virga-like virus 2 isolate CMS001_056_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434984	MW434984_Hubei_virga-like_virus_2	MW434984_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10853	MAG: Hubei virga-like virus 2 isolate CMS001_052_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434985	MW434985_Hubei_virga-like_virus_2	MW434985_Hubei_virga-like_virus_2	Culex tarsalis	Culex	USA	USA: West Valley, California	2017	10860	MAG: Hubei virga-like virus 2 isolate CMS002_029e_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434986	MW434986_Hubei_virga-like_virus_2	MW434986_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10839	MAG: Hubei virga-like virus 2 isolate CMS001_045_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434987	MW434987_Hubei_virga-like_virus_2	MW434987_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10900	MAG: Hubei virga-like virus 2 isolate CMS001_021_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434988	MW434988_Hubei_virga-like_virus_2	MW434988_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10886	MAG: Hubei virga-like virus 2 isolate CMS001_035_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434989	MW434989_Hubei_virga-like_virus_2	MW434989_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10856	MAG: Hubei virga-like virus 2 isolate CMS001_019_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434990	MW434990_Hubei_virga-like_virus_2	MW434990_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10856	MAG: Hubei virga-like virus 2 isolate CMS001_017_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434991	MW434991_Hubei_virga-like_virus_2	MW434991_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10853	MAG: Hubei virga-like virus 2 isolate CMS001_050_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434992	MW434992_Hubei_virga-like_virus_2	MW434992_Hubei_virga-like_virus_2	Culex tarsalis	Culex	USA	USA: Alameda County, California	2017	10851	MAG: Hubei virga-like virus 2 isolate CMS001_034_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434993	MW434993_Hubei_virga-like_virus_2	MW434993_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10848	MAG: Hubei virga-like virus 2 isolate CMS001_023_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434994	MW434994_Hubei_virga-like_virus_2	MW434994_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10869	MAG: Hubei virga-like virus 2 isolate CMS001_037_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434995	MW434995_Hubei_virga-like_virus_2	MW434995_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10902	MAG: Hubei virga-like virus 2 isolate CMS001_024_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434996	MW434996_Hubei_virga-like_virus_2	MW434996_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10868	MAG: Hubei virga-like virus 2 isolate CMS001_001_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434997	MW434997_Hubei_virga-like_virus_2	MW434997_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10863	MAG: Hubei virga-like virus 2 isolate CMS002_047d_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434998	MW434998_Hubei_virga-like_virus_2	MW434998_Hubei_virga-like_virus_2	Culex tarsalis	Culex	USA	USA: Alameda County, California	2017	10870	MAG: Hubei virga-like virus 2 isolate CMS001_002_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434999	MW434999_Hubei_virga-like_virus_2	MW434999_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10946	MAG: Hubei virga-like virus 2 isolate CMS002_028c_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435000	MW435000_Hubei_virga-like_virus_2	MW435000_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10873	MAG: Hubei virga-like virus 2 isolate CMS001_006_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435001	MW435001_Hubei_virga-like_virus_2	MW435001_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10872	MAG: Hubei virga-like virus 2 isolate CMS002_047i_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435002	MW435002_Hubei_virga-like_virus_2	MW435002_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10863	MAG: Hubei virga-like virus 2 isolate CMS002_047b_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435003	MW435003_Hubei_virga-like_virus_2	MW435003_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10866	MAG: Hubei virga-like virus 2 isolate CMS002_047f_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435004	MW435004_Hubei_virga-like_virus_2	MW435004_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10917	MAG: Hubei virga-like virus 2 isolate CMS002_028a_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435005	MW435005_Hubei_virga-like_virus_2	MW435005_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	11763	MAG: Hubei virga-like virus 2 isolate CMS002_047g_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435006	MW435006_Hubei_virga-like_virus_2	MW435006_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Placer Valley, California	2017	10870	MAG: Hubei virga-like virus 2 isolate CMS002_053a_PLCR genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435007	MW435007_Hubei_virga-like_virus_2	MW435007_Hubei_virga-like_virus_2	Culex tarsalis	Culex	USA	USA: West Valley, California	2017	10957	MAG: Hubei virga-like virus 2 isolate CMS002_029d_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435008	MW435008_Hubei_virga-like_virus_2	MW435008_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10817	MAG: Hubei virga-like virus 2 isolate CMS001_020_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435009	MW435009_Hubei_virga-like_virus_2	MW435009_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10707	MAG: Hubei virga-like virus 2 isolate CMS001_048_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435010	MW435010_Hubei_virga-like_virus_2	MW435010_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10647	MAG: Hubei virga-like virus 2 isolate CMS001_010_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW435011	MW435011_Hubei_virga-like_virus_2	MW435011_Hubei_virga-like_virus_2	Culex erythrothorax	Culex	USA	USA: Alameda County, California	2017	10646	MAG: Hubei virga-like virus 2 isolate CMS001_057_ALCO genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT942636	MT942636_Hibiscus_latent_Fort_Pierce_virus	MT942636_Hibiscus_latent_Fort_Pierce_virus	NA	NA	Ecuador	Ecuador	2019	6393	Hibiscus latent Fort Pierce virus isolate AV, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT860234	MT860234_Solenopsis_invicta_virus_17	MT860234_Solenopsis_invicta_virus_17	Solenopsis invicta	Solenopsis	USA	USA	2016	10226	Solenopsis invicta virus 17 isolate C:Mississipi genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW520407	MW520407_Alexandroupolis_virga-like_virus	MW520407_Alexandroupolis_virga-like_virus	NA	NA	Greece	Greece:Thrace	2019	10213	MAG: Alexandroupolis virga-like virus isolate VI1 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW520408	MW520408_Alexandroupolis_virga-like_virus	MW520408_Alexandroupolis_virga-like_virus	NA	NA	Greece	Greece:Thrace	2019	10093	MAG: Alexandroupolis virga-like virus isolate VI2 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT240785	MT240785_Soybean_thrips_virga-like_virus_2	MT240785_Soybean_thrips_virga-like_virus_2	NA	NA	USA	USA	2018	3339	Soybean thrips virga-like virus 2 strain STN1 polyprotein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT757507	MT757507_Ganwon-do_negev-like_virus_1	MT757507_Ganwon-do_negev-like_virus_1	Leptotrombidium pallidum	Leptotrombidium	Korea	Korea	2014	6451	Ganwon-do negev-like virus 1 strain KRlp-1 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT344120	MT344120_Nelorpivirus_dungfly	MT344120_Nelorpivirus_dungfly	Scathophaga furcata	Scathophaga	NA	NA	2019	9239	Nelorpivirus dungfly strain NV_dungfly-1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT344122	MT344122_Negelike-virus_whitefly1	MT344122_Negelike-virus_whitefly1	Bemisia tabaci	Bemisia	China	China	2019	1329	Negelike-virus whitefly1 strain NLV_whitefly1-1 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT344124	MT344124_Negelike-virus_whitefly3	MT344124_Negelike-virus_whitefly3	Bemisia tabaci	Bemisia	China	China	2019	1326	Negelike-virus whitefly3 strain NLV_whitefly3-1 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT496831	MT496831_Probopyrinella_latreuticola_Nege-like_virus	MT496831_Probopyrinella_latreuticola_Nege-like_virus	Probopyrinella latreuticola	Probopyrinella	USA	USA	2019	13098	Probopyrinella latreuticola Nege-like virus strain PlNV1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN714666	MN714666_Frankliniella_occidentalis_associated_negev-like_virus_1	MN714666_Frankliniella_occidentalis_associated_negev-like_virus_1	Frankliniella occidentalis	Frankliniella	Italy	Italy	2018	14196	Frankliniella occidentalis associated negev-like virus 1 isolate ThassRNAV3 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN714667	MN714667_Frankliniella_occidentalis_associated_virga-like_virus_2	MN714667_Frankliniella_occidentalis_associated_virga-like_virus_2	NA	NA	Italy	Italy	2018	12138	Frankliniella occidentalis associated virga-like virus 2 isolate ThassRNAV4 hypothetical protein, RNA-dependent RNA polymerase, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN714672	MN714672_Thrips_tabaci_associated_virga-like_virus_1	MN714672_Thrips_tabaci_associated_virga-like_virus_1	NA	NA	Italy	Italy	2018	6965	Thrips tabaci associated virga-like virus 1 isolate THR-B_DN23975 segment RNA1 hypothetical protein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT227315	MT227315_Bemisia_tabaci_virga-like_virus_1	MT227315_Bemisia_tabaci_virga-like_virus_1	NA	NA	China	China	2019	10005	Bemisia tabaci virga-like virus 1 ORF1, ORF2, and ORF3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK231022	MK231022_Uromyces_virus_A	MK231022_Uromyces_virus_A	Uromyces appendiculatus	Uromyces	Germany	Germany	2014	3520	Uromyces virus A isolate Won, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK231062	MK231062_Uromyces_virgavirus_F	MK231062_Uromyces_virgavirus_F	NA	NA	Germany	Germany	2014	3575	Uromyces virgavirus F isolate Won, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK231110	MK231110_Entomophthora_virgavirus_A	MK231110_Entomophthora_virgavirus_A	NA	NA	Denmark	Denmark	2016	10376	Entomophthora virgavirus A isolate Won, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT434820	MT434820_Tomato_fruit_blotch_virus	MT434820_Tomato_fruit_blotch_virus	Solanum lycopersicum	Solanum	Australia	Australia	2019	3610	Tomato fruit blotch virus isolate 2-56 segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN745078	MN745078_Bactrocera_dorsalis_negev-like_virus	MN745078_Bactrocera_dorsalis_negev-like_virus	Bactrocera dorsalis	Bactrocera	China	China	2018	10329	Bactrocera dorsalis negev-like virus strain BDNLV.abc3, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT498833	MT498833_Broome_virga-like_virus_1	MT498833_Broome_virga-like_virus_1	NA	NA	Australia	Australia	2018	11106	Broome virga-like virus 1 isolate BVGL1/pool-2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT498834	MT498834_Parry's_Creek_negev-like_virus_1	MT498834_Parry's_Creek_negev-like_virus_1	Culex annulirostris	Culex	Australia	Australia	2018	10939	Parry's Creek negev-like virus 1 isolate PCNLV1/pool-12, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN417990	MN417990_Potato_mop-top_virus	MN417990_Potato_mop-top_virus	Physalis peruviana	Physalis	Colombia	Colombia: La Union	2018	6010	Potato mop-top virus isolate PMTV_physalis_M2 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN417993	MN417993_Potato_mop-top_virus	MN417993_Potato_mop-top_virus	Physalis peruviana	Physalis	Colombia	Colombia: La Union	2018	5978	Potato mop-top virus isolate PMTV_physalis_M7 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN125060	MN125060_Potato_mop-top_virus	MN125060_Potato_mop-top_virus	Solanum quitoense	Solanum	Colombia	Colombia: Antioquia(Marinilla-La Union)	2018	6005	Potato mop-top virus isolate PMTV_quitoense_M1 segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN125066	MN125066_Potato_mop-top_virus	MN125066_Potato_mop-top_virus	Solanum quitoense	Solanum	Colombia	Colombia: Antioquia(Marinilla-La Union)	2018	5875	Potato mop-top virus isolate PMTV_quitoense_M6 segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT482468	MT482468_Varroa_jacobsoni_virus_4	MT482468_Varroa_jacobsoni_virus_4	Varroa jacobsoni	Varroa	Papua New Guinea	Papua New Guinea	2008	8337	Varroa jacobsoni virus 4 isolate VJV-4/PNG polyprotein and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN510430	MN510430_Culex_pipiens-associated_Tunisia_virus	MN510430_Culex_pipiens-associated_Tunisia_virus	Culex	Culex	India	India	2017	1267	Culex pipiens-associated Tunisia virus isolate CpaTV/Culex/IVRI/2017 replicase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT096524	MT096524_Daeseongdong_virus_1	MT096524_Daeseongdong_virus_1	NA	NA	Spain	Spain	2015	9852	MAG: Daeseongdong virus 1 isolate FTA2-2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN928963	MN928963_Auricularia_heimuer_mycovirgavirus_1	MN928963_Auricularia_heimuer_mycovirgavirus_1	NA	NA	China	China	2019	9934	Auricularia heimuer mycovirgavirus 1 isolate CCMJ1271, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC507097	LC507097_Culex_tritaeniorhynchus_Negev-like_virus	LC507097_Culex_tritaeniorhynchus_Negev-like_virus	Culex tritaeniorhynchus	Culex	Japan	Japan: Tottori	2017	12911	Culex tritaeniorhynchus Negev-like virus 17I&TG27 RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC512731	LC512731_Culex_pseudovishnui_negev-like_virus	LC512731_Culex_pseudovishnui_negev-like_virus	Culex pseudovishnui	Culex	Japan	Japan: Nagasaki, Isahaya	2017	11030	Culex pseudovishnui negev-like virus 17CxNGK-Cps2-1462 genes for RNA-dependent RNA polymerase, hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT129773	MT129773_Dougjudy_virga-like_virus	MT129773_Dougjudy_virga-like_virus	NA	NA	Australia	Australia	2016	10632	Dougjudy virga-like virus strain GUNCaV_DN28994-66, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT129774	MT129774_Hubei_virga-like_virus_11	MT129774_Hubei_virga-like_virus_11	Musca vetustissima	Musca	Australia	Australia	2017	10340	Hubei virga-like virus 11 strain GudgUn_DN31124-17, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN101547	MN101547_Ngewotan_negevirus	MN101547_Ngewotan_negevirus	Culex annulirostris	Culex	Australia	Australia: Cairns	2006	9061	Ngewotan negevirus isolate NWTV 155762, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC516838	LC516838_Barley_aphid_RNA_virus_4	LC516838_Barley_aphid_RNA_virus_4	Rhopalosiphum padi	Rhopalosiphum	Japan	Japan:Kurashiki	2016	8395	Barley aphid RNA virus 4 05BaA1 genes for replicase, hypothetical protein 1, complete and partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK539855	MK539855_Potato_mop-top_virus	MK539855_Potato_mop-top_virus	Solanum tuberosum	Solanum	USA	USA	NA	5439	Potato mop-top virus isolate ME-Maine RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK539856	MK539856_Potato_mop-top_virus	MK539856_Potato_mop-top_virus	Solanum tuberosum	Solanum	USA	USA	NA	5439	Potato mop-top virus isolate ID-Idaho_1 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK539857	MK539857_Potato_mop-top_virus	MK539857_Potato_mop-top_virus	Solanum tuberosum	Solanum	USA	USA	NA	5439	Potato mop-top virus isolate ID-Idaho-21 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK539858	MK539858_Potato_mop-top_virus	MK539858_Potato_mop-top_virus	Solanum tuberosum	Solanum	USA	USA	NA	5439	Potato mop-top virus isolate ID-Idaho-313 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK539859	MK539859_Potato_mop-top_virus	MK539859_Potato_mop-top_virus	Solanum tuberosum	Solanum	USA	USA	NA	5439	Potato mop-top virus isolate ID-Idaho_264 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC496783	LC496783_Aedes_aegypti_virga-like_virus	LC496783_Aedes_aegypti_virga-like_virus	Aedes aegypti	Aedes	Ghana	Ghana: Accra	2016	4448	Aedes aegypti virga-like virus GH115 genes for hypothetical protein 1, hypothetical protein 2, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN551100	MN551100_Plasmopara_viticola_lesion_associated_virga-like_virus_1	MN551100_Plasmopara_viticola_lesion_associated_virga-like_virus_1	NA	NA	Spain	Spain	2018	6782	Plasmopara viticola lesion associated virga-like virus 1 isolate DMS9-DN27351 RdRp gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN123252	MN123252_Japanese_soil-borne_wheat_mosaic_virus	MN123252_Japanese_soil-borne_wheat_mosaic_virus	Hordeum vulgare	Hordeum	Germany	Germany	2015	7003	Japanese soil-borne wheat mosaic virus isolate Bornum segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK257731	MK257731_Grapevine_virga-like_virus	MK257731_Grapevine_virga-like_virus	Vitis vinifera	Vitis	Spain	Spain	2016	1755	Grapevine virga-like virus strain Trollinger RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661103	MN661103_Atrato_Virga-like_virus_1	MN661103_Atrato_Virga-like_virus_1	NA	NA	Colombia	Colombia	2016	9006	Atrato Virga-like virus 1 strain Cx 1773-8 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661104	MN661104_Atrato_Virga-like_virus_2	MN661104_Atrato_Virga-like_virus_2	NA	NA	Colombia	Colombia	2016	8775	Atrato Virga-like virus 2 strain Cqvz 1753-6 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661105	MN661105_Atrato_Virga-like_virus_2	MN661105_Atrato_Virga-like_virus_2	NA	NA	Colombia	Colombia	2016	8822	Atrato Virga-like virus 2 strain Cqvz 1759-3 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661106	MN661106_Atrato_Virga-like_virus_2	MN661106_Atrato_Virga-like_virus_2	NA	NA	Colombia	Colombia	2016	8650	Atrato Virga-like virus 2 strain Cqvz 1772-6 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661112	MN661112_Atrato_Virga-like_virus_3	MN661112_Atrato_Virga-like_virus_3	NA	NA	Colombia	Colombia	2016	10309	Atrato Virga-like virus 3 strain AVLV/Mati 1755-5 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661113	MN661113_Atrato_Virga-like_virus_4	MN661113_Atrato_Virga-like_virus_4	NA	NA	Colombia	Colombia	2016	9638	Atrato Virga-like virus 4 strain Psal 1733-2 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661114	MN661114_Atrato_Virga-like_virus_4	MN661114_Atrato_Virga-like_virus_4	NA	NA	Colombia	Colombia	2016	10038	Atrato Virga-like virus 4 strain Psal 1757-2 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661115	MN661115_Atrato_Virga-like_virus_4	MN661115_Atrato_Virga-like_virus_4	NA	NA	Colombia	Colombia	2016	10265	Atrato Virga-like virus 4 strain Psal 1761-1 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661116	MN661116_Atrato_Virga-like_virus_5	MN661116_Atrato_Virga-like_virus_5	NA	NA	Colombia	Colombia	2016	10862	Atrato Virga-like virus 5 strain Mati 1755-3 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
